GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
gestion-station-ski,tn.esprit.spring.configs,OpenAPIConfig,0,50,0,0,0,14,0,5,0,5
gestion-station-ski,tn.esprit.spring,GestionStationSkiApplication,5,3,0,0,2,1,1,1,1,1
gestion-station-ski,tn.esprit.spring.services,InstructorServicesImpl,25,33,0,0,5,5,1,5,1,5
gestion-station-ski,tn.esprit.spring.services,SkierServicesImpl,112,15,2,0,25,1,8,1,7,1
gestion-station-ski,tn.esprit.spring.services,PisteServicesImpl,23,6,0,0,5,1,4,1,4,1
gestion-station-ski,tn.esprit.spring.services,RegistrationServicesImpl,205,16,17,0,41,2,14,2,5,2
gestion-station-ski,tn.esprit.spring.services,CourseServicesImpl,24,6,0,0,4,1,4,1,4,1
gestion-station-ski,tn.esprit.spring.entities,Color,0,27,0,0,0,2,0,1,0,1
gestion-station-ski,tn.esprit.spring.entities,Skier,73,3,0,0,22,1,15,1,15,1
gestion-station-ski,tn.esprit.spring.entities,TypeCourse,0,21,0,0,0,2,0,1,0,1
gestion-station-ski,tn.esprit.spring.entities,Piste,63,3,0,0,8,1,13,1,13,1
gestion-station-ski,tn.esprit.spring.entities,Registration,70,3,0,0,14,1,10,1,10,1
gestion-station-ski,tn.esprit.spring.entities,Course,73,3,0,0,22,1,15,1,15,1
gestion-station-ski,tn.esprit.spring.entities,Support,0,15,0,0,0,2,0,1,0,1
gestion-station-ski,tn.esprit.spring.entities,Instructor,28,25,0,0,12,11,8,4,8,4
gestion-station-ski,tn.esprit.spring.controllers,CourseRestController,19,3,0,0,4,1,4,1,4,1
gestion-station-ski,tn.esprit.spring.controllers,RegistrationRestController,25,3,0,0,4,1,4,1,4,1
gestion-station-ski,tn.esprit.spring.controllers,PisteRestController,19,3,0,0,5,1,4,1,4,1
gestion-station-ski,tn.esprit.spring.controllers,SkierRestController,37,3,0,0,8,1,7,1,7,1
gestion-station-ski,tn.esprit.spring.controllers,InstructorRestController,0,28,0,0,0,6,0,6,0,6
